Id Registro de Alarma;Fecha;Hora;Nombre de Equipo;Id Operador;Apellido de Operador;Nombre de Operador;Etiqueta del Gorro;Id del Sensor;Id Regla de Alarma;Nombre de Alarma;Inicio de Turno Fecha/Hora;Fin de Turno Fecha/Hora;Latitud;Longitud;Valor;Desfase Minutos
11;09-07-2018;10:15:41;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;2;Nivel 4 por 0 mins;09-07-2018 7:00;09-07-2018 19:00;-314.022.683.333.333;-68.565.225;731.8;0
10;09-07-2018;10:12:43;BUS 275;1453;SEMISA;CONDUCTOR 11;000ff1;000020D25F000FF1;2;Nivel 4 por 0 mins;09-07-2018 7:00;09-07-2018 19:00;-314.022.683.333.333;-68.565.225;731.8;0
9;07-07-2018;14:46:18;BUS 255;713;SEMISA;CONDUCTOR 01;1242;000020D25F001242;4;Sin LifeBand por 10mins;07-07-2018 7:00;07-07-2018 19:00;-300.074.166.666.667;-695.964.766.666.667;3902.0;278
8;07-07-2018;11:34:55;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;07-07-2018 7:00;07-07-2018 19:00;-294.116.633.333.333;-698.879.233.333.333;3851.8;1
6;06-07-2018;21:45:14;BUS 265;1452;SEMISA;CONDUCTOR 08;00138d;000020D25F00138D;4;Sin LifeBand por 10mins;06-07-2018 19:00;07-07-2018 7:00;-302.037.116.666.667;-692.664.666.666.667;1921.3;221
5;06-07-2018;19:31:18;BUS 265;576;SEMISA;CONDUCTOR 02;1117;000020D25F001117;4;Sin LifeBand por 10mins;06-07-2018 19:00;07-07-2018 7:00;-309.781.783.333.333;-688.057.066.666.667;1530.0;355
7;06-07-2018;19:22:25;BUS 275;877;SEMISA;CONDUCTOR 09;0013f2;000020D25F0013F2;3;Nivel 3+ por 10 mins;06-07-2018 19:00;07-07-2018 7:00;-310.108.083.333.333;-68.765.895;1360.6;394
4;05-07-2018;16:29:26;BUS 255;000CB4;SEMISA;CONDUCTOR 06;1026;000020D25F001026;4;Sin LifeBand por 10mins;05-07-2018 7:00;05-07-2018 19:00;-315.370.333.333.333;-685.531.333.333.333;638.8;0
3;05-07-2018;16:13:52;BUS 255;000CB4;SEMISA;CONDUCTOR 06;1026;000020D25F001026;3;Nivel 3+ por 10 mins;05-07-2018 7:00;05-07-2018 19:00;-31.520.205;-6.853.622;632.4;1
2;04-07-2018;18:51:25;BUS 275;1412;SEMISA;CONDUCTOR 03;0010b2;000020D25F0010B2;4;Sin LifeBand por 10mins;04-07-2018 7:00;04-07-2018 19:00;-315.683.766.666.667;-685.165.516.666.667;616.4;0
1;02-07-2018;19:44:32;BUS 255;000CB4;SEMISA;CONDUCTOR 06;1026;000020D25F001026;4;Sin LifeBand por 10mins;02-07-2018 19:00;03-07-2018 7:00;-293.262.866.666.667;-69.915.355;3918.4;0
